cell_id,lat,lon,elevation_m,comune,frazione,pop_raw,pop_calibrated,nearest_stop_id,nearest_stop_dist_m,walk_min_std,walk_min_slope
CELL_00520,45.7199,9.3901,365.3,Olgiate Molgora,San Zeno,9.428,2.1,S_SAN_ZENO,1033.0,12.91,12.9
CELL_00521,45.7199,9.3914,356.6,Olgiate Molgora,San Zeno,7.859,1.75,S_SAN_ZENO,1131.0,14.14,14.51
CELL_00522,45.7199,9.3927,367.5,Olgiate Molgora,San Zeno,6.672,1.48,S_SAN_ZENO,1234.2,15.43,15.32
CELL_00523,45.7199,9.394,359.1,Olgiate Molgora,San Zeno,5.439,1.21,S_SAN_ZENO,1341.4,16.77,17.03
CELL_00524,45.7199,9.3953,367.7,Olgiate Molgora,San Zeno,4.573,1.02,S_SAN_ZENO,1451.6,18.14,18.03
CELL_00525,45.7199,9.3966,359.2,Olgiate Molgora,San Zeno,3.994,0.89,S_OLGIATE_FS,1728.2,21.6,18.66
CELL_00526,45.7199,9.3979,281.1,Calco,Calco Centro,16.268,3.14,S_CALCO_NAZ,1658.1,20.73,20.68
CELL_00527,45.7199,9.3992,273.7,Calco,Calco Centro,19.769,3.82,S_CALCO_NAZ,1552.3,19.4,19.68
CELL_00528,45.7199,9.4005,278.6,Calco,Calco Centro,23.268,4.5,S_CALCO_NAZ,1449.8,18.12,18.18
CELL_00529,45.7199,9.4018,274.8,Calco,Calco Centro,28.011,5.41,S_CALCO_NAZ,1351.3,16.89,17.12
CELL_00530,45.7199,9.4031,276.8,Calco,Calco Centro,32.735,6.32,S_CALCO_NAZ,1257.7,15.72,15.86
CELL_00531,45.7199,9.4044,283.6,Calco,Calco Centro,38.281,7.4,S_CALCO_NAZ,1170.4,14.63,14.47
CELL_00532,45.7199,9.4057,280.7,Calco,Calco Centro,43.92,8.49,S_CALCO_NAZ,1090.6,13.63,13.6
CELL_00533,45.7199,9.407,279.8,Calco,Calco Centro,49.785,9.62,S_CALCO_CHIESA,991.1,12.39,12.75
CELL_00534,45.7199,9.4083,280.6,Calco,Calco Centro,55.209,10.67,S_CALCO_CHIESA,898.3,11.23,11.56
CELL_00535,45.7199,9.4096,278.6,Calco,Calco Centro,59.865,11.57,S_CALCO_CHIESA,814.5,10.18,10.6
CELL_00536,45.7199,9.4109,279.6,Calco,Calco Centro,62.957,12.16,S_CALCO_CHIESA,742.9,9.29,9.66
CELL_00537,45.7199,9.4122,275.3,Calco,Calco Centro,64.41,12.44,S_CALCO_CHIESA,687.1,8.59,9.16
CELL_00538,45.7199,9.4135,281.2,Calco,Calco Centro,63.741,12.31,S_CALCO_CHIESA,651.4,8.14,8.45
CELL_00539,45.7199,9.4148,283.1,Calco,Calco Centro,61.099,11.8,S_CALCO_CHIESA,639.0,7.99,8.21
CELL_00540,45.7199,9.4161,279.3,Calco,Calco Centro,56.631,10.94,S_CALCO_CHIESA,651.4,8.14,8.53
CELL_00541,45.7199,9.4174,277.3,Calco,Calco Centro,51.379,9.93,S_CALCO_CHIESA,687.1,8.59,9.07
CELL_00542,45.7199,9.4187,280.9,Calco,Calco Centro,45.877,8.86,S_CALCO_CHIESA,742.9,9.29,9.6
CELL_00543,45.7199,9.42,277.6,Calco,Calco Centro,40.114,7.75,S_CALCO_CHIESA,814.5,10.18,10.65
CELL_00544,45.7199,9.4213,269.4,Calco,Arlate,12.195,2.36,S_CALCO_CHIESA,898.3,11.23,12.07
CELL_00545,45.7199,9.4226,264.7,Calco,Arlate,14.913,2.88,S_ARLATE,1043.0,13.04,13.05
CELL_00546,45.7199,9.4239,265.2,Calco,Arlate,17.941,3.47,S_ARLATE,933.1,11.66,11.66
CELL_00547,45.7199,9.4252,263.7,Calco,Arlate,21.734,4.2,S_ARLATE,828.0,10.35,10.41
CELL_00548,45.7199,9.4265,264.1,Calco,Arlate,25.576,4.94,S_ARLATE,729.6,9.12,9.16
CELL_00549,45.7199,9.4278,267.1,Calco,Arlate,29.918,5.78,S_ARLATE,641.0,8.01,7.92
CELL_00550,45.7199,9.4291,269.3,Calco,Arlate,34.183,6.6,S_ARLATE,566.9,7.09,6.9
CELL_00551,45.7199,9.4304,266.2,Calco,Arlate,37.626,7.27,S_ARLATE,513.5,6.42,6.37
CELL_00552,45.7199,9.4317,262.3,Calco,Arlate,39.413,7.61,S_ARLATE,487.8,6.1,6.22
CELL_00553,45.7199,9.433,265.1,Calco,Arlate,39.03,7.54,S_ARLATE,494.0,6.18,6.17
CELL_00554,45.7199,9.4343,265.5,Calco,Arlate,36.611,7.07,S_ARLATE,531.1,6.64,6.62
CELL_00555,45.7199,9.4356,266.5,Calco,Arlate,32.743,6.33,S_ARLATE,593.3,7.42,7.35
CELL_00556,45.7199,9.4369,265.8,Calco,Arlate,28.233,5.45,S_ARLATE,673.6,8.42,8.39
CELL_00557,45.7199,9.4382,269.1,Calco,Arlate,24.197,4.67,S_ARLATE,766.4,9.58,9.4
CELL_00558,45.7199,9.4395,267.9,Calco,Arlate,20.393,3.94,S_ARLATE,867.7,10.85,10.72
CELL_00559,45.7199,9.4408,261.7,Calco,Arlate,16.65,3.22,S_ARLATE,974.9,12.19,12.33
CELL_00560,45.7199,9.4421,269.9,Calco,Arlate,13.675,2.64,S_ARLATE,1086.2,13.58,13.36
CELL_00561,45.7199,9.4434,267.9,Calco,Arlate,11.446,2.21,S_ARLATE,1200.4,15.0,14.88
CELL_00562,45.7199,9.4447,262.1,Calco,Arlate,9.462,1.83,S_ARLATE,1316.8,16.46,16.59
CELL_00563,45.7199,9.446,270.2,Calco,Arlate,7.726,1.49,S_ARLATE,1434.9,17.94,17.71
CELL_00564,45.7199,9.4473,263.9,Calco,Arlate,6.371,1.23,S_ARLATE,1554.3,19.43,19.48
CELL_00565,45.7199,9.4486,262.0,Calco,Arlate,4.896,0.95,S_ARLATE,1674.7,20.93,21.07
CELL_00566,45.7208,9.3654,363.5,Olgiate Molgora,San Zeno,3.143,0.7,S_SAN_ZENO,1714.5,21.43,21.5
CELL_00567,45.7208,9.3667,358.1,Olgiate Molgora,San Zeno,3.64,0.81,S_SAN_ZENO,1595.6,19.95,20.25
CELL_00568,45.7208,9.368,364.4,Olgiate Molgora,San Zeno,4.518,1.0,S_SAN_ZENO,1477.9,18.47,18.5
CELL_00569,45.7208,9.3693,363.1,Olgiate Molgora,San Zeno,5.552,1.23,S_SAN_ZENO,1361.7,17.02,17.11
CELL_00570,45.7208,9.3706,366.1,Olgiate Molgora,San Zeno,6.593,1.47,S_SAN_ZENO,1247.5,15.59,15.55
CELL_00571,45.7208,9.3719,364.0,Olgiate Molgora,San Zeno,7.858,1.75,S_SAN_ZENO,1135.9,14.2,14.24
CELL_00572,45.7208,9.3732,361.2,Olgiate Molgora,San Zeno,9.389,2.09,S_SAN_ZENO,1027.6,12.85,13.01
CELL_00573,45.7208,9.3745,368.8,Olgiate Molgora,San Zeno,11.461,2.55,S_SAN_ZENO,923.9,11.55,11.38
CELL_00574,45.7208,9.3758,363.5,Olgiate Molgora,San Zeno,13.679,3.04,S_SAN_ZENO,826.6,10.33,10.4
CELL_00575,45.7208,9.3771,362.3,Olgiate Molgora,San Zeno,15.714,3.5,S_SAN_ZENO,738.0,9.22,9.34
CELL_00576,45.7208,9.3784,365.8,Olgiate Molgora,San Zeno,17.987,4.0,S_SAN_ZENO,661.8,8.27,8.24
CELL_00577,45.7208,9.3797,366.7,Olgiate Molgora,San Zeno,20.017,4.45,S_SAN_ZENO,602.6,7.53,7.46
CELL_00578,45.7208,9.381,363.6,Olgiate Molgora,San Zeno,21.457,4.77,S_SAN_ZENO,565.9,7.07,7.13
CELL_00579,45.7208,9.3823,366.7,Olgiate Molgora,San Zeno,21.535,4.79,S_SAN_ZENO,556.0,6.95,6.88
CELL_00580,45.7208,9.3836,357.5,Olgiate Molgora,San Zeno,21.151,4.7,S_SAN_ZENO,574.5,7.18,7.52
CELL_00581,45.7208,9.3849,361.1,Olgiate Molgora,San Zeno,19.508,4.34,S_SAN_ZENO,618.7,7.73,7.91
CELL_00582,45.7208,9.3862,359.9,Olgiate Molgora,San Zeno,17.302,3.85,S_SAN_ZENO,683.6,8.55,8.77
CELL_00583,45.7208,9.3875,361.1,Olgiate Molgora,San Zeno,15.001,3.34,S_SAN_ZENO,764.1,9.55,9.72
CELL_00584,45.7208,9.3888,357.1,Olgiate Molgora,San Zeno,13.008,2.89,S_SAN_ZENO,855.7,10.7,11.05
CELL_00585,45.7208,9.3901,364.7,Olgiate Molgora,San Zeno,10.801,2.4,S_SAN_ZENO,955.3,11.94,11.95
CELL_00586,45.7208,9.3914,362.6,Olgiate Molgora,San Zeno,9.1,2.02,S_SAN_ZENO,1060.5,13.26,13.36
CELL_00587,45.7208,9.3927,363.0,Olgiate Molgora,San Zeno,7.468,1.66,S_SAN_ZENO,1169.9,14.62,14.71
CELL_00588,45.7208,9.394,361.4,Olgiate Molgora,San Zeno,6.182,1.38,S_SAN_ZENO,1282.4,16.03,16.19
CELL_00589,45.7208,9.3953,365.6,Olgiate Molgora,San Zeno,5.055,1.12,S_SAN_ZENO,1397.3,17.47,17.44
CELL_00590,45.7208,9.3966,364.3,Olgiate Molgora,San Zeno,4.043,0.9,S_OLGIATE_FS,1612.8,20.16,17.05
CELL_00591,45.7208,9.3979,274.1,Calco,Calco Centro,18.305,3.54,S_OLGIATE_FS,1566.8,19.59,20.16
CELL_00592,45.7208,9.3992,283.1,Calco,Calco Centro,21.908,4.23,S_CALCO_NAZ,1485.4,18.57,18.43
CELL_00593,45.7208,9.4005,276.9,Calco,Calco Centro,26.429,5.11,S_CALCO_NAZ,1377.9,17.22,17.36
CELL_00594,45.7208,9.4018,279.0,Calco,Calco Centro,31.818,6.15,S_CALCO_NAZ,1273.9,15.92,15.97
CELL_00595,45.7208,9.4031,277.2,Calco,Calco Centro,38.066,7.35,S_CALCO_NAZ,1174.2,14.68,14.8
CELL_00596,45.7208,9.4044,278.0,Calco,Calco Centro,44.847,8.66,S_CALCO_NAZ,1080.1,13.5,13.59
CELL_00597,45.7208,9.4057,274.6,Calco,Calco Centro,52.338,10.11,S_CALCO_NAZ,993.1,12.41,12.65
CELL_00598,45.7208,9.407,280.2,Calco,Calco Centro,59.923,11.58,S_CALCO_NAZ,915.3,11.44,11.43
CELL_00599,45.7208,9.4083,278.6,Calco,Calco Centro,67.38,13.02,S_CALCO_CHIESA,814.1,10.18,10.6
CELL_00600,45.7208,9.4096,275.6,Calco,Calco Centro,73.585,14.22,S_CALCO_CHIESA,720.6,9.01,9.57
CELL_00601,45.7208,9.4109,277.4,Calco,Calco Centro,78.167,15.1,S_CALCO_CHIESA,638.5,7.98,8.46
CELL_00602,45.7208,9.4122,280.8,Calco,Calco Centro,80.255,15.51,S_CALCO_CHIESA,572.7,7.16,7.48
CELL_00603,45.7208,9.4135,278.3,Calco,Calco Centro,79.152,15.29,S_CALCO_CHIESA,529.3,6.62,7.05
CELL_00604,45.7208,9.4148,277.7,Calco,Calco Centro,75.067,14.5,S_CALCO_CHIESA,514.0,6.43,6.89
CELL_00605,45.7208,9.4161,280.7,Calco,Calco Centro,69.452,13.42,S_CALCO_CHIESA,529.3,6.62,6.94
CELL_00606,45.7208,9.4174,276.7,Calco,Calco Centro,62.343,12.04,S_CALCO_CHIESA,572.7,7.16,7.67
CELL_00607,45.7208,9.4187,279.5,Calco,Calco Centro,54.333,10.5,S_CALCO_CHIESA,638.5,7.98,8.36
CELL_00608,45.7208,9.42,281.6,Calco,Calco Centro,46.997,9.08,S_CALCO_CHIESA,720.6,9.01,9.29
CELL_00609,45.7208,9.4213,310.0,Calco,Calco Superiore,6.413,1.24,S_CALCO_CHIESA,814.1,10.18,9.26
CELL_00610,45.7208,9.4226,262.3,Calco,Arlate,13.386,2.59,S_CALCO_CHIESA,915.5,11.44,12.63
CELL_00611,45.7208,9.4239,266.4,Calco,Arlate,16.018,3.09,S_ARLATE,1004.0,12.55,12.49
CELL_00612,45.7208,9.4252,263.5,Calco,Arlate,18.851,3.64,S_ARLATE,907.1,11.34,11.4
CELL_00613,45.7208,9.4265,270.9,Calco,Arlate,22.257,4.3,S_ARLATE,818.2,10.23,9.97
CELL_00614,45.7208,9.4278,265.5,Calco,Arlate,25.101,4.85,S_ARLATE,740.3,9.25,9.23
CELL_00615,45.7208,9.4291,263.7,Calco,Arlate,28.131,5.43,S_ARLATE,677.2,8.46,8.52
CELL_00616,45.7208,9.4304,265.7,Calco,Arlate,30.666,5.92,S_ARLATE,633.2,7.91,7.88
CELL_00617,45.7208,9.4317,261.8,Calco,Arlate,31.744,6.13,S_ARLATE,612.5,7.66,7.8
CELL_00618,45.7208,9.433,267.3,Calco,Arlate,31.283,6.04,S_ARLATE,617.5,7.72,7.62
CELL_00619,45.7208,9.4343,262.1,Calco,Arlate,29.904,5.78,S_ARLATE,647.5,8.09,8.22
CELL_00620,45.7208,9.4356,264.5,Calco,Arlate,27.325,5.28,S_ARLATE,699.4,8.74,8.76
CELL_00621,45.7208,9.4369,266.9,Calco,Arlate,24.166,4.67,S_ARLATE,768.8,9.61,9.53
CELL_00622,45.7208,9.4382,264.5,Calco,Arlate,20.694,4.0,S_ARLATE,851.3,10.64,10.66
CELL_00623,45.7208,9.4395,267.7,Calco,Arlate,17.845,3.45,S_ARLATE,943.5,11.79,11.68
CELL_00624,45.7208,9.4408,267.2,Calco,Arlate,14.853,2.87,S_ARLATE,1042.9,13.04,12.94
CELL_00625,45.7208,9.4421,264.7,Calco,Arlate,12.316,2.38,S_ARLATE,1147.6,14.34,14.36
CELL_00626,45.7208,9.4434,266.5,Calco,Arlate,10.127,1.96,S_ARLATE,1256.3,15.7,15.64
CELL_00627,45.7208,9.4447,270.0,Calco,Arlate,8.686,1.68,S_ARLATE,1367.9,17.1,16.88
CELL_00628,45.7208,9.446,261.4,Calco,Arlate,7.191,1.39,S_ARLATE,1482.0,18.52,18.68
CELL_00629,45.7208,9.4473,266.3,Calco,Arlate,5.629,1.09,S_ARLATE,1597.8,19.97,19.92
CELL_00630,45.7208,9.4486,270.0,Calco,Arlate,4.575,0.88,S_ARLATE,1715.2,21.44,21.22
CELL_00631,45.7217,9.3654,365.6,Olgiate Molgora,San Zeno,3.077,0.68,S_SAN_ZENO,1678.2,20.98,20.95
CELL_00632,45.7217,9.3667,365.2,Olgiate Molgora,San Zeno,3.739,0.83,S_SAN_ZENO,1556.5,19.46,19.45
CELL_00633,45.7217,9.368,369.6,Olgiate Molgora,San Zeno,4.702,1.05,S_SAN_ZENO,1435.6,17.94,17.74
CELL_00634,45.7217,9.3693,361.7,Olgiate Molgora,San Zeno,5.935,1.32,S_SAN_ZENO,1315.7,16.45,16.59
CELL_00635,45.7217,9.3706,369.8,Olgiate Molgora,San Zeno,7.131,1.59,S_SAN_ZENO,1197.1,14.96,14.76
CELL_00636,45.7217,9.3719,370.1,Olgiate Molgora,San Zeno,8.833,1.96,S_SAN_ZENO,1080.2,13.5,13.28
CELL_00637,45.7217,9.3732,368.8,Olgiate Molgora,San Zeno,10.659,2.37,S_SAN_ZENO,965.8,12.07,11.91
CELL_00638,45.7217,9.3745,363.4,Olgiate Molgora,San Zeno,13.004,2.89,S_SAN_ZENO,854.6,10.68,10.75
CELL_00639,45.7217,9.3758,363.7,Olgiate Molgora,San Zeno,15.483,3.44,S_SAN_ZENO,748.2,9.35,9.41
CELL_00640,45.7217,9.3771,365.7,Olgiate Molgora,San Zeno,18.558,4.13,S_SAN_ZENO,649.1,8.11,8.08
CELL_00641,45.7217,9.3784,360.8,Olgiate Molgora,San Zeno,21.327,4.74,S_SAN_ZENO,560.9,7.01,7.2
CELL_00642,45.7217,9.3797,364.9,Olgiate Molgora,San Zeno,24.093,5.36,S_SAN_ZENO,489.7,6.12,6.13
CELL_00643,45.7217,9.381,361.8,Olgiate Molgora,San Zeno,26.434,5.88,S_SAN_ZENO,443.7,5.55,5.69
CELL_00644,45.7217,9.3823,364.0,Olgiate Molgora,San Zeno,27.001,6.01,S_SAN_ZENO,431.1,5.39,5.43
CELL_00645,45.7217,9.3836,360.9,Olgiate Molgora,San Zeno,25.87,5.75,S_SAN_ZENO,454.6,5.68,5.87
CELL_00646,45.7217,9.3849,367.0,Olgiate Molgora,San Zeno,23.502,5.23,S_SAN_ZENO,509.3,6.37,6.28
CELL_00647,45.7217,9.3862,360.9,Olgiate Molgora,San Zeno,20.634,4.59,S_SAN_ZENO,586.6,7.33,7.51
CELL_00648,45.7217,9.3875,364.4,Olgiate Molgora,San Zeno,17.579,3.91,S_SAN_ZENO,678.6,8.48,8.51
CELL_00649,45.7217,9.3888,359.0,Olgiate Molgora,San Zeno,14.566,3.24,S_SAN_ZENO,780.3,9.75,10.02
CELL_00650,45.7217,9.3901,367.2,Olgiate Molgora,San Zeno,12.23,2.72,S_SAN_ZENO,888.4,11.1,11.01
CELL_00651,45.7217,9.3914,366.4,Olgiate Molgora,San Zeno,10.133,2.25,S_SAN_ZENO,1000.7,12.51,12.45
CELL_00652,45.7217,9.3927,369.5,Olgiate Molgora,San Zeno,8.362,1.86,S_SAN_ZENO,1116.0,13.95,13.75
CELL_00653,45.7217,9.394,367.0,Olgiate Molgora,San Zeno,6.821,1.52,S_SAN_ZENO,1233.4,15.42,15.33
CELL_00654,45.7217,9.3953,362.9,Olgiate Molgora,San Zeno,5.47,1.22,S_OLGIATE_FS,1557.2,19.47,16.41
CELL_00655,45.7217,9.3966,362.5,Olgiate Molgora,San Zeno,4.482,1.0,S_OLGIATE_FS,1498.9,18.74,15.75
CELL_00656,45.7217,9.3979,280.6,Calco,Calco Centro,19.995,3.86,S_OLGIATE_FS,1449.4,18.12,18.4
CELL_00657,45.7217,9.3992,282.4,Calco,Calco Centro,24.213,4.68,S_CALCO_NAZ,1426.3,17.83,17.72
CELL_00658,45.7217,9.4005,282.0,Calco,Calco Centro,29.837,5.76,S_CALCO_NAZ,1314.0,16.43,16.34
CELL_00659,45.7217,9.4018,282.3,Calco,Calco Centro,35.948,6.95,S_CALCO_NAZ,1204.5,15.06,14.96
CELL_00660,45.7217,9.4031,278.8,Calco,Calco Centro,43.346,8.37,S_CALCO_NAZ,1098.5,13.73,13.78
CELL_00661,45.7217,9.4044,277.5,Calco,Calco Centro,51.571,9.96,S_CALCO_NAZ,997.3,12.47,12.58
CELL_00662,45.7217,9.4057,276.4,Calco,Calco Centro,61.109,11.81,S_CALCO_NAZ,902.4,11.28,11.44
CELL_00663,45.7217,9.407,277.1,Calco,Calco Centro,71.132,13.74,S_CALCO_NAZ,816.0,10.2,10.33
CELL_00664,45.7217,9.4083,283.8,Calco,Calco Centro,81.139,15.68,S_CALCO_NAZ,741.2,9.27,9.1
CELL_00665,45.7217,9.4096,284.1,Calco,Calco Centro,90.306,17.45,S_CALCO_CHIESA,637.5,7.97,8.14
CELL_00666,45.7217,9.4109,277.9,Calco,Calco Centro,96.631,18.67,S_CALCO_CHIESA,542.9,6.79,7.24
CELL_00667,45.7217,9.4122,275.3,Calco,Calco Centro,99.708,19.26,S_CALCO_CHIESA,463.8,5.8,6.38
CELL_00668,45.7217,9.4135,273.8,Calco,Calco Centro,98.163,18.97,S_CALCO_CHIESA,409.0,5.11,5.77
CELL_00669,45.7217,9.4148,281.1,Calco,Calco Centro,92.584,17.89,S_CALCO_CHIESA,389.0,4.86,5.17
CELL_00670,45.7217,9.4161,276.4,Calco,Calco Centro,84.058,16.24,S_CALCO_CHIESA,409.0,5.11,5.65
CELL_00671,45.7217,9.4174,279.8,Calco,Calco Centro,74.192,14.33,S_CALCO_CHIESA,463.8,5.8,6.17
CELL_00672,45.7217,9.4187,279.5,Calco,Calco Centro,64.151,12.39,S_CALCO_CHIESA,542.9,6.79,7.17
CELL_00673,45.7217,9.42,287.0,Calco,Calco Centro,54.558,10.54,S_CALCO_CHIESA,637.5,7.97,8.01
CELL_00674,45.7217,9.4213,323.9,Calco,Calco Superiore,8.179,1.58,S_CALCO_CHIESA,741.5,9.27,7.82
CELL_00675,45.7217,9.4226,320.0,Calco,Calco Superiore,7.688,1.49,S_CALCO_CHIESA,851.6,10.65,9.33
CELL_00676,45.7217,9.4239,269.7,Calco,Arlate,13.987,2.7,S_CALCO_CHIESA,965.6,12.07,12.9
CELL_00677,45.7217,9.4252,263.2,Calco,Arlate,16.21,3.13,S_ARLATE,995.6,12.45,12.52
CELL_00678,45.7217,9.4265,258.9,Calco,Arlate,18.475,3.57,S_ARLATE,915.4,11.44,11.71
CELL_00679,45.7217,9.4278,266.8,Calco,Arlate,21.093,4.08,S_ARLATE,846.5,10.58,10.5
CELL_00680,45.7217,9.4291,264.9,Calco,Arlate,23.347,4.51,S_ARLATE,791.9,9.9,9.9
CELL_00681,45.7217,9.4304,264.3,Calco,Arlate,24.662,4.76,S_ARLATE,754.6,9.43,9.46
CELL_00682,45.7217,9.4317,267.2,Calco,Arlate,25.306,4.89,S_ARLATE,737.3,9.22,9.12
CELL_00683,45.7217,9.433,265.8,Calco,Arlate,25.448,4.92,S_ARLATE,741.5,9.27,9.23
CELL_00684,45.7217,9.4343,261.2,Calco,Arlate,24.386,4.71,S_ARLATE,766.7,9.58,9.75
CELL_00685,45.7217,9.4356,272.0,Calco,Arlate,22.386,4.32,S_ARLATE,811.0,10.14,9.84
CELL_00686,45.7217,9.4369,266.5,Calco,Arlate,20.09,3.88,S_ARLATE,871.5,10.89,10.83
CELL_00687,45.7217,9.4382,266.6,Calco,Arlate,17.555,3.39,S_ARLATE,945.1,11.81,11.74
CELL_00688,45.7217,9.4395,267.3,Calco,Arlate,15.453,2.99,S_ARLATE,1028.9,12.86,12.76
CELL_00689,45.7217,9.4408,273.8,Calco,Arlate,13.227,2.56,S_ARLATE,1120.8,14.01,13.63
CELL_00690,45.7217,9.4421,263.5,Calco,Arlate,10.943,2.11,S_ARLATE,1218.8,15.23,15.3
CELL_00691,45.7217,9.4434,265.3,Calco,Arlate,9.401,1.82,S_ARLATE,1321.6,16.52,16.51
CELL_00692,45.7217,9.4447,266.0,Calco,Arlate,7.768,1.5,S_ARLATE,1428.2,17.85,17.81
CELL_00693,45.7217,9.446,262.3,Calco,Arlate,6.242,1.21,S_ARLATE,1537.8,19.22,19.34
CELL_00694,45.7217,9.4473,269.1,Calco,Arlate,5.265,1.02,S_ARLATE,1649.7,20.62,20.44
CELL_00695,45.7226,9.3654,369.0,Olgiate Molgora,San Zeno,3.18,0.71,S_SAN_ZENO,1650.5,20.63,20.46
CELL_00696,45.7226,9.3667,362.4,Olgiate Molgora,San Zeno,3.985,0.89,S_SAN_ZENO,1526.6,19.08,19.2
CELL_00697,45.7226,9.368,365.0,Olgiate Molgora,San Zeno,5.211,1.16,S_SAN_ZENO,1403.2,17.54,17.54
CELL_00698,45.7226,9.3693,362.4,Olgiate Molgora,San Zeno,6.174,1.37,S_SAN_ZENO,1280.2,16.0,16.12
CELL_00699,45.7226,9.3706,367.7,Olgiate Molgora,San Zeno,7.689,1.71,S_SAN_ZENO,1158.0,14.47,14.36
CELL_00700,45.7226,9.3719,363.4,Olgiate Molgora,San Zeno,9.48,2.11,S_SAN_ZENO,1036.7,12.96,13.03
CELL_00701,45.7226,9.3732,366.6,Olgiate Molgora,San Zeno,11.63,2.59,S_SAN_ZENO,916.9,11.46,11.39
CELL_00702,45.7226,9.3745,368.6,Olgiate Molgora,San Zeno,14.088,3.13,S_SAN_ZENO,798.9,9.99,9.83
CELL_00703,45.7226,9.3758,368.7,Olgiate Molgora,San Zeno,17.287,3.85,S_SAN_ZENO,684.0,8.55,8.39
CELL_00704,45.7226,9.3771,367.3,Olgiate Molgora,San Zeno,20.918,4.65,S_SAN_ZENO,573.8,7.17,7.07
CELL_00705,45.7226,9.3784,359.4,Olgiate Molgora,San Zeno,25.114,5.59,S_SAN_ZENO,471.8,5.9,6.15
CELL_00706,45.7226,9.3797,362.4,Olgiate Molgora,San Zeno,28.986,6.45,S_SAN_ZENO,384.4,4.8,4.92
CELL_00707,45.7226,9.381,363.4,Olgiate Molgora,San Zeno,32.265,7.18,S_SAN_ZENO,323.8,4.05,4.12
CELL_00708,45.7226,9.3823,364.6,Olgiate Molgora,San Zeno,33.538,7.46,S_SAN_ZENO,306.2,3.83,3.85
CELL_00709,45.7226,9.3836,366.9,Olgiate Molgora,San Zeno,31.676,7.05,S_SAN_ZENO,338.6,4.23,4.15
CELL_00710,45.7226,9.3849,364.6,Olgiate Molgora,San Zeno,27.889,6.2,S_SAN_ZENO,409.1,5.11,5.13
CELL_00711,45.7226,9.3862,362.0,Olgiate Molgora,San Zeno,23.592,5.25,S_SAN_ZENO,502.0,6.27,6.41
CELL_00712,45.7226,9.3875,362.3,Olgiate Molgora,San Zeno,19.908,4.43,S_SAN_ZENO,607.0,7.59,7.71
CELL_00713,45.7226,9.3888,363.3,Olgiate Molgora,San Zeno,16.2,3.6,S_SAN_ZENO,718.9,8.99,9.06
CELL_00714,45.7226,9.3901,364.9,Olgiate Molgora,San Zeno,13.434,2.99,S_SAN_ZENO,834.9,10.44,10.44
CELL_00715,45.7226,9.3914,366.0,Olgiate Molgora,San Zeno,10.894,2.42,S_SAN_ZENO,953.6,11.92,11.88
CELL_00716,45.7226,9.3927,365.7,Olgiate Molgora,San Zeno,8.87,1.97,S_SAN_ZENO,1073.9,13.42,13.39
CELL_00717,45.7226,9.394,366.4,Olgiate Molgora,San Zeno,7.2,1.6,S_SAN_ZENO,1195.5,14.94,14.88
CELL_00718,45.7226,9.3953,364.9,Olgiate Molgora,San Zeno,5.705,1.27,S_OLGIATE_FS,1449.8,18.12,15.41
CELL_00719,45.7226,9.3966,365.3,Olgiate Molgora,San Zeno,4.95,1.1,S_OLGIATE_FS,1387.0,17.34,14.89
CELL_00720,45.7226,9.3979,283.4,Olgiate Molgora,Olgiate Centro,19.963,4.44,S_OLGIATE_FS,1333.3,16.67,16.82
CELL_00721,45.7226,9.3992,280.2,Calco,Calco Centro,26.68,5.15,S_OLGIATE_FS,1289.7,16.12,16.42
CELL_00722,45.7226,9.4005,280.3,Calco,Calco Centro,32.58,6.29,S_CALCO_NAZ,1259.4,15.74,15.73
CELL_00723,45.7226,9.4018,282.7,Calco,Calco Centro,39.805,7.69,S_CALCO_NAZ,1144.6,14.31,14.19
CELL_00724,45.7226,9.4031,278.9,Calco,Calco Centro,48.731,9.41,S_CALCO_NAZ,1032.5,12.91,12.95
CELL_00725,45.7226,9.4044,276.2,Calco,Calco Centro,58.732,11.35,S_CALCO_NAZ,924.0,11.55,11.72
CELL_00726,45.7226,9.4057,283.0,Calco,Calco Centro,70.575,13.64,S_CALCO_NAZ,820.7,10.26,10.13
CELL_00727,45.7226,9.407,282.7,Calco,Calco Centro,83.38,16.11,S_CALCO_NAZ,724.7,9.06,8.94
CELL_00728,45.7226,9.4083,277.7,Calco,Calco Centro,97.019,18.74,S_CALCO_NAZ,639.3,7.99,8.09
CELL_00729,45.7226,9.4096,279.3,Calco,Calco Centro,110.006,21.25,S_CALCO_NAZ,569.3,7.12,7.15
CELL_00730,45.7226,9.4109,278.0,Calco,Calco Centro,119.65,23.12,S_CALCO_CHIESA,461.7,5.77,6.23
CELL_00731,45.7226,9.4122,282.5,Calco,Calco Centro,123.987,23.95,S_CALCO_CHIESA,365.3,4.57,4.81
CELL_00732,45.7226,9.4135,280.3,Calco,Calco Centro,121.877,23.55,S_CALCO_CHIESA,292.6,3.66,4.01
CELL_00733,45.7226,9.4148,277.9,Calco,Calco Centro,113.49,21.93,S_CALCO_CHIESA,264.0,3.3,3.77
CELL_00734,45.7226,9.4161,280.3,Calco,Calco Centro,101.113,19.53,S_CALCO_CHIESA,292.6,3.66,4.01
CELL_00735,45.7226,9.4174,278.4,Calco,Calco Centro,87.62,16.93,S_CALCO_CHIESA,365.3,4.57,5.01
